Ddate;Gasoline
2.01.2020;4,97
26.12.2019;4,97
19.12.2019;4,94
12.12.2019;4,94
5.12.2019;4,95
28.11.2019;4,95
21.11.2019;4,92
14.11.2019;4,92
7.11.2019;4,92
31.10.2019;4,92
24.10.2019;4,93
17.10.2019;4,94
10.10.2019;4,94
3.10.2019;4,97
26.09.2019;4,97
19.09.2019;4,98
12.09.2019;4,99
5.09.2019;5,01
29.08.2019;5,06
22.08.2019;5,09
15.08.2019;5,11
8.08.2019;5,14
1.08.2019;5,17
25.07.2019;5,16
18.07.2019;5,17
11.07.2019;5,16
4.07.2019;5,16
27.06.2019;5,16
20.06.2019;5,21
13.06.2019;5,24
6.06.2019;5,26
30.05.2019;5,27
23.05.2019;5,27
16.05.2019;5,23
9.05.2019;5,22
2.05.2019;5,22
25.04.2019;5,2
18.04.2019;5,2
11.04.2019;5,12
4.04.2019;5,06
28.03.2019;4,98
21.03.2019;4,84
14.03.2019;4,79
7.03.2019;4,79
28.02.2019;4,73
21.02.2019;4,74
14.02.2019;4,77
7.02.2019;4,79
31.01.2019;4,78
24.01.2019;4,79
17.01.2019;4,76
10.01.2019;4,78
3.01.2019;4,8
27.12.2018;4,84
20.12.2018;4,85
13.12.2018;4,85
6.12.2018;4,89
29.11.2018;4,97
22.11.2018;5,05
15.11.2018;5,06
8.11.2018;5,08
1.11.2018;5,08
25.10.2018;5,12
18.10.2018;5,12
11.10.2018;5,13
4.10.2018;5,11
27.09.2018;5,12
20.09.2018;5,12
13.09.2018;5,11
6.09.2018;5,11
30.08.2018;5,1
23.08.2018;5,09
16.08.2018;5,08
9.08.2018;5,09
2.08.2018;5,09
26.07.2018;5,08
19.07.2018;5,09
12.07.2018;5,12
5.07.2018;5,05
28.06.2018;5,02
21.06.2018;5,03
14.06.2018;5,07
7.06.2018;5,12
31.05.2018;5,14
24.05.2018;5,14
17.05.2018;5,07
10.05.2018;4,99
3.05.2018;4,89
26.04.2018;4,84
19.04.2018;4,79
12.04.2018;4,76
5.04.2018;4,71
29.03.2018;4,72
22.03.2018;4,67
15.03.2018;4,58
8.03.2018;4,61
1.03.2018;4,63
22.02.2018;4,6
15.02.2018;4,64
8.02.2018;4,67
1.02.2018;4,69
25.01.2018;4,7
18.01.2018;4,73
11.01.2018;4,7
4.01.2018;4,68
28.12.2017;4,69
21.12.2017;4,7
14.12.2017;4,68
7.12.2017;4,66
30.11.2017;4,68
23.11.2017;4,7
16.11.2017;4,73
9.11.2017;4,73
2.11.2017;4,62
26.10.2017;4,58
19.10.2017;4,56
12.10.2017;4,58
5.10.2017;4,61
28.09.2017;4,63
21.09.2017;4,6
14.09.2017;4,62
7.09.2017;4,58
31.08.2017;4,48
24.08.2017;4,46
17.08.2017;4,43
10.08.2017;4,45
3.08.2017;4,43
27.07.2017;4,39
20.07.2017;4,35
13.07.2017;4,36
6.07.2017;4,37
29.06.2017;4,35
22.06.2017;4,37
15.06.2017;4,41
8.06.2017;4,44
1.06.2017;4,47
25.05.2017;4,51
18.05.2017;4,54
11.05.2017;4,59
4.05.2017;4,65
27.04.2017;4,68
20.04.2017;4,71
13.04.2017;4,67
6.04.2017;4,58
30.03.2017;4,57
23.03.2017;4,61
16.03.2017;4,67
9.03.2017;4,73
2.03.2017;4,75
23.02.2017;4,79
16.02.2017;4,76
9.02.2017;4,71
2.02.2017;4,73
26.01.2017;4,71
19.01.2017;4,75
12.01.2017;4,74
5.01.2017;4,77
29.12.2016;4,79
22.12.2016;4,76
15.12.2016;4,72
8.12.2016;4,68
1.12.2016;4,56
24.11.2016;4,52
17.11.2016;4,46
10.11.2016;4,5
3.11.2016;4,55
27.10.2016;4,58
20.10.2016;4,55
13.10.2016;4,53
6.10.2016;4,49
29.09.2016;4,39
22.09.2016;4,42
15.09.2016;4,44
8.09.2016;4,44
1.09.2016;4,46
25.08.2016;4,38
18.08.2016;4,32
11.08.2016;4,28
4.08.2016;4,32
28.07.2016;4,34
21.07.2016;4,39
14.07.2016;4,43
7.07.2016;4,46
30.06.2016;4,49
23.06.2016;4,49
16.06.2016;4,52
9.06.2016;4,53
2.06.2016;4,55
26.05.2016;4,52
19.05.2016;4,45
12.05.2016;4,4
5.05.2016;4,38
28.04.2016;4,31
21.04.2016;4,24
14.04.2016;4,2
7.04.2016;4,15
31.03.2016;4,15
24.03.2016;4,09
17.03.2016;4,05
10.03.2016;4,01
3.03.2016;3,94
25.02.2016;3,93
18.02.2016;3,97
11.02.2016;3,98
4.02.2016;4,01
28.01.2016;4,02
21.01.2016;4,04
14.01.2016;4,1
7.01.2016;4,15
31.12.2015;4,18
24.12.2015;4,22
17.12.2015;4,26
10.12.2015;4,34
3.12.2015;4,39
26.11.2015;4,37
19.11.2015;4,41
12.11.2015;4,45
5.11.2015;4,42
29.10.2015;4,37
22.10.2015;4,4
15.10.2015;4,44
8.10.2015;4,47
1.10.2015;4,5
24.09.2015;4,54
17.09.2015;4,59
10.09.2015;4,65
3.09.2015;4,7
27.08.2015;4,77
20.08.2015;4,86
13.08.2015;4,91
6.08.2015;4,94
30.07.2015;4,99
23.07.2015;5,03
16.07.2015;5,06
9.07.2015;5,06
2.07.2015;4,98
25.06.2015;4,95
18.06.2015;4,96
11.06.2015;4,9
4.06.2015;4,91
28.05.2015;4,87
21.05.2015;4,79
14.05.2015;4,79
7.05.2015;4,79
30.04.2015;4,77
23.04.2015;4,77
16.04.2015;4,71
9.04.2015;4,67
2.04.2015;4,67
26.03.2015;4,64
19.03.2015;4,65
12.03.2015;4,66
5.03.2015;4,59
26.02.2015;4,53
19.02.2015;4,49
12.02.2015;4,41
5.02.2015;4,32
29.01.2015;4,3
22.01.2015;4,36
15.01.2015;4,43
8.01.2015;4,51
1.01.2015;4,58
25.12.2014;4,63
18.12.2014;4,69
11.12.2014;4,79
4.12.2014;4,89
27.11.2014;4,96
20.11.2014;5,01
13.11.2014;5,07
6.11.2014;5,1
30.10.2014;5,14
23.10.2014;5,19
16.10.2014;5,26
9.10.2014;5,29
2.10.2014;5,32
25.09.2014;5,29
18.09.2014;5,32
11.09.2014;5,33
4.09.2014;5,34
28.08.2014;5,36
21.08.2014;5,38
14.08.2014;5,4
7.08.2014;5,41
31.07.2014;5,42
24.07.2014;5,45
17.07.2014;5,47
10.07.2014;5,48
3.07.2014;5,49
26.06.2014;5,49
19.06.2014;5,42
12.06.2014;5,33
5.06.2014;5,34
29.05.2014;5,3
22.05.2014;5,35
15.05.2014;5,36
8.05.2014;5,37
1.05.2014;5,38
24.04.2014;5,39
17.04.2014;5,32
10.04.2014;5,31
3.04.2014;5,32
27.03.2014;5,32
20.03.2014;5,34
13.03.2014;5,36
6.03.2014;5,38
27.02.2014;5,35
20.02.2014;5,31
13.02.2014;5,32
6.02.2014;5,34
30.01.2014;5,32
23.01.2014;5,29
16.01.2014;5,3
9.01.2014;5,32
2.01.2014;5,33
26.12.2013;5,34
19.12.2013;5,37
12.12.2013;5,37
5.12.2013;5,33
28.11.2013;5,33
21.11.2013;5,34
14.11.2013;5,36
7.11.2013;5,41
31.10.2013;5,47
24.10.2013;5,49
17.10.2013;5,53
10.10.2013;5,56
3.10.2013;5,61
26.09.2013;5,69
19.09.2013;5,71
12.09.2013;5,65
5.09.2013;5,61
29.08.2013;5,58
22.08.2013;5,59
15.08.2013;5,6
8.08.2013;5,61
1.08.2013;5,64
25.07.2013;5,64
18.07.2013;5,55
11.07.2013;5,46
4.07.2013;5,45
27.06.2013;5,43
20.06.2013;5,42
13.06.2013;5,41
6.06.2013;5,36
30.05.2013;5,37
23.05.2013;5,33
16.05.2013;5,35
9.05.2013;5,41
2.05.2013;5,5
25.04.2013;5,57
18.04.2013;5,62
11.04.2013;5,65
4.04.2013;5,63
28.03.2013;5,61
21.03.2013;5,63
14.03.2013;5,65
7.03.2013;5,67
28.02.2013;5,62
21.02.2013;5,54
14.02.2013;5,46
7.02.2013;5,42
31.01.2013;5,4
24.01.2013;5,41
17.01.2013;5,42
10.01.2013;5,43
3.01.2013;5,45
27.12.2012;5,47
20.12.2012;5,5
13.12.2012;5,53
6.12.2012;5,54
29.11.2012;5,56
22.11.2012;5,58
15.11.2012;5,61
8.11.2012;5,71
1.11.2012;5,78
25.10.2012;5,84
18.10.2012;5,84
11.10.2012;5,85
4.10.2012;5,86
27.09.2012;5,87
20.09.2012;5,88
13.09.2012;5,84
6.09.2012;5,82
30.08.2012;5,85
23.08.2012;5,72
16.08.2012;5,66
9.08.2012;5,66
2.08.2012;5,66
26.07.2012;5,64
19.07.2012;5,64
12.07.2012;5,64
5.07.2012;5,67
28.06.2012;5,79
21.06.2012;5,81
14.06.2012;5,83
7.06.2012;5,83
31.05.2012;5,84
24.05.2012;5,85
17.05.2012;5,86
10.05.2012;5,87
3.05.2012;5,88
26.04.2012;5,89
19.04.2012;5,89
12.04.2012;5,87
5.04.2012;5,83
29.03.2012;5,81
22.03.2012;5,75
15.03.2012;5,69
8.03.2012;5,67
1.03.2012;5,64
23.02.2012;5,62
16.02.2012;5,61
9.02.2012;5,61
2.02.2012;5,62
26.01.2012;5,63
19.01.2012;5,6
12.01.2012;5,49
5.01.2012;5,47
29.12.2011;5,46
22.12.2011;5,46
15.12.2011;5,44
8.12.2011;5,42
1.12.2011;5,42
24.11.2011;5,42
17.11.2011;5,39
10.11.2011;5,35
3.11.2011;5,35
27.10.2011;5,32
20.10.2011;5,23
13.10.2011;5,2
6.10.2011;5,23
29.09.2011;5,22
22.09.2011;5,17
15.09.2011;5,06
8.09.2011;5,04
1.09.2011;5,05
25.08.2011;5,14
18.08.2011;5,21
11.08.2011;5,28
4.08.2011;5,29
28.07.2011;5,12
21.07.2011;5,06
14.07.2011;5,07
7.07.2011;5,1
30.06.2011;5,13
23.06.2011;5,14
16.06.2011;5,15
9.06.2011;5,16
2.06.2011;5,17
26.05.2011;5,18
19.05.2011;5,17
12.05.2011;5,17
5.05.2011;5,16
28.04.2011;5,16
21.04.2011;5,13
14.04.2011;5,09
7.04.2011;5,04
31.03.2011;5,03
24.03.2011;4,98
17.03.2011;4,9
10.03.2011;4,85
3.03.2011;4,81
24.02.2011;4,82
17.02.2011;4,83
10.02.2011;4,87
3.02.2011;4,88
27.01.2011;4,91
20.01.2011;4,92
13.01.2011;4,93
6.01.2011;4,86
30.12.2010;4,88
23.12.2010;4,86
16.12.2010;4,78
9.12.2010;4,67
2.12.2010;4,61
25.11.2010;4,59
18.11.2010;4,55
11.11.2010;4,57
4.11.2010;4,59
28.10.2010;4,57
21.10.2010;4,54
14.10.2010;4,58
7.10.2010;4,54
30.09.2010;4,57
23.09.2010;4,57
16.09.2010;4,54
9.09.2010;4,55
2.09.2010;4,56
26.08.2010;4,58
19.08.2010;4,6
12.08.2010;4,63
5.08.2010;4,66
29.07.2010;4,67
22.07.2010;4,7
15.07.2010;4,74
8.07.2010;4,72
1.07.2010;4,75
24.06.2010;4,67
17.06.2010;4,69
10.06.2010;4,71
3.06.2010;4,75
27.05.2010;4,72
20.05.2010;4,66
13.05.2010;4,65
6.05.2010;4,6
29.04.2010;4,61
22.04.2010;4,56
15.04.2010;4,57
8.04.2010;4,5
1.04.2010;4,5
25.03.2010;4,45
18.03.2010;4,39
11.03.2010;4,4
4.03.2010;4,35
25.02.2010;4,36
18.02.2010;4,39
11.02.2010;4,36
4.02.2010;4,38
28.01.2010;4,41
21.01.2010;4,32
14.01.2010;4,3
7.01.2010;4,25
31.12.2009;4,26
24.12.2009;4,31
17.12.2009;4,29
10.12.2009;4,32
3.12.2009;4,34
26.11.2009;4,37
19.11.2009;4,38
12.11.2009;4,3
5.11.2009;4,25
29.10.2009;4,27
22.10.2009;4,29
15.10.2009;4,32
8.10.2009;4,36
1.10.2009;4,38
24.09.2009;4,41
17.09.2009;4,44
10.09.2009;4,45
3.09.2009;4,46
27.08.2009;4,47
20.08.2009;4,48
13.08.2009;4,5
6.08.2009;4,54
30.07.2009;4,57
23.07.2009;4,61
16.07.2009;4,62
9.07.2009;4,62
2.07.2009;4,54
25.06.2009;4,39
18.06.2009;4,36
11.06.2009;4,29
4.06.2009;4,21
28.05.2009;4,12
21.05.2009;3,99
14.05.2009;4
7.05.2009;3,92
30.04.2009;3,94
23.04.2009;3,96
16.04.2009;3,94
9.04.2009;3,84
2.04.2009;3,87
26.03.2009;3,87
19.03.2009;3,91
12.03.2009;3,88
5.03.2009;3,9
26.02.2009;3,81
19.02.2009;3,7
12.02.2009;3,58
5.02.2009;3,49
29.01.2009;3,42
22.01.2009;3,34
15.01.2009;3,52
8.01.2009;3,66
1.01.2009;3,74
25.12.2008;3,82
18.12.2008;3,92
11.12.2008;4,02
4.12.2008;4,1
27.11.2008;4,18
20.11.2008;4,24
13.11.2008;4,31
6.11.2008;4,35
30.10.2008;4,38
23.10.2008;4,4
16.10.2008;4,45
9.10.2008;4,41
2.10.2008;4,44
25.09.2008;4,46
18.09.2008;4,5
11.09.2008;4,54
4.09.2008;4,59
28.08.2008;4,64
21.08.2008;4,69
14.08.2008;4,71
7.08.2008;4,71
31.07.2008;4,7
24.07.2008;4,69
17.07.2008;4,67
10.07.2008;4,62
3.07.2008;4,62
26.06.2008;4,59
19.06.2008;4,54
12.06.2008;4,46
5.06.2008;4,33
29.05.2008;4,33
22.05.2008;4,34
15.05.2008;4,32
8.05.2008;4,33
1.05.2008;4,33
24.04.2008;4,34
17.04.2008;4,35
10.04.2008;4,37
3.04.2008;4,35
27.03.2008;4,29
20.03.2008;4,24
13.03.2008;4,27
